id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2WN7xpcY4zmcqF57HFEGZY,0.799,0.569,0,-7.821,1,0.318,0.154,0.0,0.151,0.417,125.074,206600,4
0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
3QFInJAm9eyaho5vBzxInN,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4
7FdmHr87G79PDRGy9SPBkZ,0.949,0.683,9,-4.242,1,0.0946,0.0199,0.0,0.171,0.887,130.012,184635,4
40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,184213,4
25r6MZ4Gtd76l43qnZI1DG,0.8,0.541,10,-5.05,0,0.0375,0.0252,0.0,0.146,0.194,135.99,183514,4
1t9WgS8FN0534tLBRwbaxO,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4
0cu0rhnlCnJ7JIeHRiLpj3,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949,112547,4
2sU586qrQQhByPLqEF7pLX,0.909,0.601,9,-5.848,1,0.402,0.0504,0.0,0.106,0.623,140.28,93498,4
3skWb4hadA0lTaowADujyY,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928,153406,4
2UwALqx6yOsXTFt7zRxnts,0.662,0.686,7,-8.302,1,0.332,0.251,5.59e-06,0.349,0.678,143.971,215000,4
27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
4R67rQNSbbsR4TdUVOIdez,0.839,0.506,5,-6.714,0,0.133,0.00207,0.0,0.13,0.44,154.12,149610,4
1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4
1MIGkQxcdAt2lDx6ySpsc5,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928,157675,4
6Hfu9sc7jvv6coyy2LlzBF,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,243187,4
4hWAIH8ZIjcA2cEhGjr7jc,0.544,0.446,4,-11.074,0,0.426,0.391,0.0,0.157,0.478,135.11,139050,4
0nqhKXDjsyBMvbeWmgijD0,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,180930,4
3JJL91ilRV6fXhKqu0FGXs,0.371,0.75,7,-5.382,0,0.402,0.601,0.0,0.482,0.729,173.456,155293,4
3HicZmZQqn09gi8xG7v9iZ,0.636,0.583,9,-5.115,0,0.426,0.0531,0.0,0.364,0.282,180.939,229333,4
7iNGwN4yuxATUtv0qYXJ8Q,0.46,0.733,1,-4.579,0,0.13,0.032,1.65e-06,0.109,0.0792,89.669,275163,4
4FRW5Nza1Ym91BGV4nFWXI,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966,383037,4
1T2zBb2omBI30fvIWegMuT,0.592,0.682,4,-7.196,0,0.264,0.0466,0.0,0.648,0.301,91.845,180009,4
4azLuDqgPsqxSBBBpmJcDV,0.882,0.857,8,-4.037,1,0.256,0.0649,0.0,0.394,0.814,156.003,166333,4
18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
45s98gUcOcj5nJeFDNLH2g,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,232500,4
4nyRXQQkM69kmaxiyCKMCr,0.806,0.501,9,-7.096,0,0.168,0.065,0.0,0.125,0.345,160.03,171000,4
28ZhRMf6jwUWNtJgOBR7HL,0.772,0.742,11,-5.313,1,0.382,0.657,3.98e-06,0.367,0.903,186.145,172903,4
7wpyrkjEgz7W1vNYDxMKrF,0.666,0.643,8,-7.01,1,0.423,0.386,0.0,0.283,0.756,96.375,105377,4
2etHQJxIbV0soyPhelVs9Y,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884,4
2f6PfM0BVPBtJVayoSVPus,0.653,0.792,10,-2.018,0,0.0342,0.0994,0.0,0.731,0.175,94.126,187819,4
0wi5NYT0upjIHOG4FWSqdH,0.778,0.934,9,-3.488,1,0.321,0.184,0.0,0.123,0.803,98.97,183333,4
4WxbZx6I6BKAF6APWIkh6d,0.811,0.838,1,-3.637,1,0.0466,0.000524,2.04e-05,0.0981,0.5,95.008,178431,4
7zl7kehxesNEo2pYkKXTSe,0.924,0.73,11,-6.125,0,0.274,0.0525,0.0,0.113,0.848,99.01,236666,4
0XqrIEnDoHvodUzGRmyKYQ,0.898,0.529,9,-5.428,1,0.2,0.0699,0.0,0.536,0.8,110.032,188963,4
3SLu421u9hMKwcFNxGFrGk,0.459,0.759,6,-5.487,0,0.0998,0.131,0.0,0.356,0.667,105.157,158857,4
6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,173182,4
6nL0wIy3rcQPqHNAtm61Gh,0.8,0.832,0,-5.497,1,0.266,0.087,0.0,0.322,0.736,106.983,149725,4
2X1XZhcMd2uo6KkuE2z8Wi,0.953,0.614,2,-7.328,1,0.0752,0.00717,0.000258,0.0762,0.188,105.019,168427,4
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653,4
4KDNRh9Oor80z3XIxdWlui,0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011,165067,4
6z0GOxuc3tQHNI806lWezu,0.6,0.56,7,-5.91,1,0.304,0.3,0.0,0.151,0.682,127.113,191625,4
1wj5WjZy9x5VK2vH3rzP2R,0.892,0.414,10,-8.339,1,0.309,0.0809,0.0,0.11,0.591,139.983,150588,4
4RQvgOmRgrrfrkCqAvy9TE,0.794,0.649,1,-4.294,1,0.348,0.0584,0.0,0.314,0.611,144.343,121148,4
4FbpJVIQvKCPdFNcscKZyH,0.772,0.571,10,-5.883,1,0.143,0.0418,0.0,0.0818,0.538,147.933,143623,4
3T9BKc4kB7ukeNQrCqv6ZV,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,161053,4
67G6iaOw8DZqp1z8STR89R,0.893,0.463,1,-5.301,1,0.36,0.199,0.0,0.318,0.591,81.026,229601,4
6KgfatrB6dtH8R6XQZJaYi,0.793,0.808,8,-4.104,1,0.184,0.0294,1.96e-05,0.15,0.274,162.003,180532,4
2zR8U7MLwxlLf7xkAew9BR,0.484,0.746,5,-7.171,0,0.337,0.0981,0.0,0.096,0.513,171.171,157874,4
7qM1BWAsZMTYh4BcYLb0uQ,0.74,0.501,1,-6.339,1,0.0592,0.019,0.0,0.114,0.119,83.5,231011,4
5W8jRrZ6tWrTrqnKRtIQBf,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,218210,4
1XKTvkeaZy5gueNNZYL7rE,0.756,0.577,7,-7.127,1,0.0395,0.00277,0.0,0.309,0.685,92.036,172105,4
1fxYz1s15pyZLsJT0Hdh1m,0.643,0.403,1,-11.254,0,0.41,0.343,0.0,0.138,0.111,98.54,174682,4
7MiE0I58L6n6L7lmPKwe73,0.567,0.644,11,-6.917,0,0.562,0.358,0.0,0.461,0.41,110.49,187436,4
2cyD0OE6HQwSk2nmDcQx1O,0.788,0.678,4,-8.584,0,0.0386,0.631,0.233,0.141,0.39,120.019,220000,4
0xta6Gah3inmeHbj0e3F9a,0.894,0.615,3,-6.269,1,0.0826,0.0308,0.00921,0.309,0.661,120.0,193209,4
3aQem4jVGdhtg116TmJnHz,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,178154,4
4qVxgXAQnGb11sU6yIYxQJ,0.873,0.516,7,-11.038,0,0.273,0.434,0.0,0.125,0.478,126.046,217136,4
